length,insertionSort,mergeSort,quickSort,heapSort
100,1,0,0,1
1100,4,1,1,2
2100,6,0,1,1
3100,9,1,0,2
4100,14,1,1,2
5100,15,1,0,2
6100,17,0,1,2
7100,24,1,0,3
8100,30,1,0,4
9100,38,1,1,4
10100,47,1,0,5
11100,58,1,0,7
12100,69,2,1,6
13100,81,2,1,6
14100,95,2,1,9
15100,110,2,1,12
16100,125,2,1,11
17100,141,2,1,10
18100,159,2,1,11
19100,176,2,1,16
20100,195,2,1,14
21100,219,3,1,20
22100,242,3,1,21
23100,259,3,2,22
24100,287,3,1,24
25100,313,3,2,26
26100,347,3,2,29
27100,368,4,2,30
28100,396,4,1,31
29100,432,3,1,28
30100,450,3,2,36
31100,491,3,2,38
32100,540,3,2,41
33100,557,3,2,44
34100,669,5,2,101
35100,937,3,2,44
36100,687,4,2,59
37100,704,3,2,55
38100,738,3,2,57
39100,787,4,3,60
40100,818,3,3,65
41100,859,4,3,70
42100,908,4,3,71
43100,988,4,3,73
44100,1003,5,5,116
45100,1193,4,3,86
46100,1092,5,4,84
47100,1149,5,4,92
48100,1225,5,4,95
49100,1255,4,4,81
50100,1300,4,4,101
51100,1363,5,4,107
52100,1410,5,4,85
53100,1471,5,4,116
54100,1522,5,4,120
55100,1577,6,4,102
56100,1616,6,5,133
57100,1698,5,4,135
58100,1761,5,5,136
59100,1828,6,5,140
60100,1883,6,6,141
61100,2005,8,6,157
62100,2048,6,5,162
63100,2102,6,5,170
64100,2151,6,6,168
65100,2223,6,6,171
66100,2310,6,6,154
67100,2398,9,7,198
68100,2461,6,6,196
69100,2504,6,6,198
70100,2601,6,7,198
71100,2669,7,7,204
72100,2731,8,7,220
73100,2812,7,7,197
74100,2899,7,7,242
75100,2978,7,7,230
76100,3061,7,7,240
77100,3152,8,7,244
78100,3225,8,8,252
79100,3307,7,8,261
80100,3404,7,8,284
81100,3489,8,9,256
82100,3586,8,9,248
83100,3647,8,8,254
84100,3759,8,9,299
85100,3838,9,9,313
86100,3942,9,9,326
87100,4057,9,9,325
88100,4092,9,9,332
89100,4205,9,9,346
90100,4319,8,10,347
91100,4439,9,10,358
92100,5058,9,10,363
93100,4599,9,10,342
94100,4707,9,10,377
95100,4804,9,10,384
96100,4918,9,11,393
97100,5006,9,11,396
98100,5100,9,11,424
99100,5247,9,12,419
100100,5321,9,12,442
101100,5433,10,11,400
102100,5539,9,12,460
103100,5677,10,12,468
104100,5774,11,12,473
105100,5898,10,13,490
106100,5989,10,13,501
107100,6096,11,13,501
108100,6218,10,13,510
109100,6346,10,13,492
110100,6466,11,13,547
111100,6593,10,14,545
112100,6688,16,14,549
113100,6816,11,14,561
114100,6985,13,13,523
115100,7082,11,15,588
116100,7188,11,14,591
117100,7419,11,15,615
118100,7490,12,15,589
119100,7580,11,15,639
120100,7710,12,15,597
121100,7838,13,16,624
122100,7997,12,16,662
123100,8088,14,16,674
124100,8236,12,16,699
125100,8361,15,16,694
126100,8508,12,16,701
127100,8630,14,17,732
128100,8747,12,17,742
129100,8909,13,18,750
130100,9043,13,18,761
131100,9206,13,18,781
132100,9338,13,18,799
133100,9495,12,18,797
134100,9622,13,19,807
135100,9771,13,19,780
136100,9942,14,20,834
137100,10117,13,18,814
138100,10211,14,19,833
139100,10391,13,19,897
140100,10530,13,20,902
141100,12817,15,20,874
142100,10816,13,20,937
143100,11017,14,21,943
144100,11166,15,20,968
145100,11295,14,21,984
146100,11453,14,22,944
147100,11631,16,22,958
148100,11802,15,22,973
149100,11911,14,22,1031
150100,12098,15,22,1044
151100,12260,16,23,1063
152100,12442,16,24,1079
153100,12604,15,23,1097
154100,12730,15,23,1063
155100,12956,16,23,1069
156100,13331,16,24,1161
157100,13282,16,25,1138
158100,13460,15,25,1157
159100,13622,15,24,1181
160100,13846,15,25,1198
161100,13958,15,25,1207
162100,14136,15,26,1217
163100,14352,16,26,1195
164100,14539,16,26,1249
165100,17245,21,26,1292
166100,14813,19,25,1268
167100,15029,16,27,1269
168100,15249,18,27,1319
169100,15406,17,28,1300
170100,15559,18,27,1349
171100,15735,18,28,1365
172100,15859,18,29,1408
173100,16131,18,29,1411
174100,16282,18,29,1429
175100,16527,17,30,1432
176100,16713,17,29,1451
177100,16946,17,30,1492
178100,17183,17,30,1488
179100,17302,17,31,1506
180100,17522,17,30,1533
181100,17679,17,30,1552
182100,17916,19,32,1518
183100,18093,19,31,1576
184100,18329,19,30,1591
185100,20474,27,33,1627
186100,18777,20,32,1639
187100,18922,20,33,1649
188100,19126,20,33,1628
189100,19344,18,32,1701
190100,19453,18,34,1710
191100,19702,19,34,1732
192100,19934,22,32,1742
193100,20098,20,34,1749
194100,20368,21,34,1760
195100,20335,20,34,1818
196100,20438,19,36,1835
197100,21015,19,37,1773
198100,21153,20,36,1811
199100,21422,20,36,1895
200100,21651,20,37,1895
201100,21823,24,37,1930
202100,22056,19,38,1938
203100,22303,21,39,1951
204100,22477,20,37,1983
205100,22728,21,38,1996
206100,22953,21,38,2019
207100,23238,21,38,2039
208100,23353,22,40,2073
209100,23548,21,39,2075
210100,23838,20,40,2106
211100,24087,21,41,2093
